year,1,2,3,4,5,6,7,8,9,10,11,12
1960,5.5,0.370000005,8.920000076,28.17000008,139.5,258.6900024,91.80000305,120.9100037,219.1499939,155.75,63.74000168,8.81000042
1961,19.38999939,7.130000114,36.13000107,27.87999916,70.94000244,182.0500031,181.0299988,115.2300034,108.7300034,206.8099976,43.68000031,13.72000027
1962,2.019999981,0,3.779999971,88.01000214,99.72000122,153.1799927,72.95999908,89.37000275,239.3800049,80.29000092,20.72999954,8.329999924
1963,0,15.51000023,5.550000191,11.25,29.07999992,228.2700043,267.0299988,108.6200027,283.1700134,89.91999817,43.58000183,12.71000004
1964,1.940000057,1.840000033,2.160000086,11.89000034,82.01999664,198.4499969,163.9199982,84.18000031,299.2900085,103.4700012,119.8600006,36.84000015
1965,2.359999895,0,0.920000017,7.630000114,52.08000183,238.3200073,121.1100006,107.7799988,249.1600037,266.1199951,41.27999878,16.95000076
1966,13.31000042,4.650000095,48.65999985,92.16000366,141.3099976,371.0700073,168.8200073,193.0500031,310.3999939,121.5999985,34.54000092,10.89000034
1967,12.5,11.89999962,8.100000381,94.48000336,40.20999908,287.4599915,152.9100037,173.6600037,182.1799927,203.7299957,25.10000038,14.32999992
1968,12.64999962,4.21999979,0,28.75,181.9499969,311.6099854,101.6699982,103.8899994,196.5099945,260.0599976,77.09999847,28.51000023
1969,38.77999878,22.23999977,24.57999992,34.18999863,156.5899963,232.6900024,199.1600037,364.5700073,278.3999939,310.1900024,71.43000031,11.39999962
1970,23.43000031,3.730000019,27.79999924,30.47999954,79.20999908,103.8499985,233.1600037,193.1100006,154.6799927,106.9100037,41.31999969,8.770000458
1971,1.269999981,2.150000095,9.760000229,11.11999989,82.30000305,86.73999786,117.6699982,185.6000061,203.8000031,74.04000092,64.69000244,14.19999981
1972,20.29999924,17.12999916,7.829999924,32.22999954,114.8000031,187.5399933,178.7599945,77.62999725,50.59000015,46.41999817,111.4199982,7.949999809
1973,0,0,2.400000095,50.29000092,160.9900055,195.5399933,98.43000031,355.3999939,116.1299973,234.8600006,50.50999832,21.80999947
1974,37.68999863,6.150000095,55.06999969,16.88999939,167.6600037,233.9700012,94.91000366,63.95999908,264.2799988,55.31000137,47.41999817,7.860000134
1975,15.71000004,0,3.650000095,4.360000134,106.4400024,91.11000061,77.55000305,72.58000183,309.3500061,206.2599945,46.95999908,21.20999908
