year,month,temp,precip
1960,1,13.10000038,5.5
1960,2,13.5,0.370000005
1960,3,14.19999981,8.920000076
1960,4,15.90000057,28.17000008
1960,5,17.60000038,139.5
1960,6,17,258.6900024
1960,7,16.10000038,91.80000305
1960,8,16.30000114,120.9100037
1960,9,16.30000114,219.1499939
1960,10,16,155.75
1960,11,14.90000057,63.74000168
1960,12,13,8.81000042
1961,1,12.60000038,19.38999939
1961,2,13.60000038,7.130000114
1961,3,15.19999981,36.13000107
1961,4,16.39999962,27.87999916
1961,5,17.5,70.94000244
1961,6,16.39999962,182.0500031
1961,7,15.90000057,181.0299988
1961,8,16.39999962,115.2300034
1961,9,16.20000076,108.7300034
1961,10,15,206.8099976
1961,11,14.19999981,43.68000031
1961,12,13.60000038,13.72000027
1962,1,12.19999981,2.019999981
1962,2,13.40000057,0
1962,3,14.60000038,3.779999971
1962,4,15.90000057,88.01000214
1962,5,16.39999962,99.72000122
1962,6,16.30000114,153.1799927
1962,7,16.10000038,72.95999908
1962,8,16.39999962,89.37000275
1962,9,16,239.3800049
1962,10,15.40000057,80.29000092
1962,11,14,20.72999954
1962,12,12.90000057,8.329999924
1963,1,12.60000038,0
1963,2,13.30000019,15.51000023
1963,3,14.69999981,5.550000191
1963,4,15.90000057,11.25
1963,5,16.89999962,29.07999992
1963,6,17.10000038,228.2700043
1963,7,16.30000114,267.0299988
1963,8,16.30000114,108.6200027
1963,9,15.80000019,283.1700134
1963,10,14.69999981,89.91999817
1963,11,14.19999981,43.58000183
1963,12,12.30000019,12.71000004
1964,1,12.19999981,1.940000057
1964,2,13.69999981,1.840000033
1964,3,15.40000057,2.160000086
1964,4,16.89999962,11.89000034
1964,5,17.10000038,82.01999664
1964,6,15.80000019,198.4499969
1964,7,15.5,163.9199982
1964,8,16.20000076,84.18000031
1964,9,16.20000076,299.2900085
1964,10,14.19999981,103.4700012
1964,11,14.69999981,119.8600006
1964,12,13.10000038,36.84000015
1965,1,12.5,2.359999895
1965,2,13.69999981,0
1965,3,14.19999981,0.920000017
1965,4,16,7.630000114
1965,5,16.80000114,52.08000183
1965,6,16.30000114,238.3200073
1965,7,16.10000038,121.1100006
1965,8,16,107.7799988
1965,9,16,249.1600037
1965,10,15,266.1199951
1965,11,14.69999981,41.27999878
1965,12,13.60000038,16.95000076
1966,1,12.40000057,13.31000042
1966,2,13.40000057,4.650000095
1966,3,14.10000038,48.65999985
1966,4,16.60000038,92.16000366
1966,5,17,141.3099976
1966,6,16.20000076,371.0700073
1966,7,16.5,168.8200073
1966,8,16.39999962,193.0500031
1966,9,16.20000076,310.3999939
1966,10,15.19999981,121.5999985
1966,11,13.40000057,34.54000092
1966,12,12.30000019,10.89000034
1967,1,12.30000019,12.5
1967,2,13,11.89999962
1967,3,14,8.100000381
1967,4,15.69999981,94.48000336
1967,5,17,40.20999908
1967,6,16.20000076,287.4599915
1967,7,15.80000019,152.9100037
1967,8,16.20000076,173.6600037
1967,9,15.69999981,182.1799927
1967,10,14.90000057,203.7299957
1967,11,14.40000057,25.10000038
1967,12,13.69999981,14.32999992
1968,1,12.60000038,12.64999962
1968,2,12.30000019,4.21999979
1968,3,13.30000019,0
1968,4,16,28.75
1968,5,16.5,181.9499969
1968,6,16.20000076,311.6099854
1968,7,15.90000057,101.6699982
1968,8,16.10000038,103.8899994
1968,9,15.80000019,196.5099945
1968,10,14.90000057,260.0599976
1968,11,14.30000019,77.09999847
1968,12,13.30000019,28.51000023
1969,1,13,38.77999878
1969,2,14,22.23999977
1969,3,14.80000019,24.57999992
1969,4,17,34.18999863
1969,5,17.70000076,156.5899963
1969,6,17.20000076,232.6900024
1969,7,16.70000076,199.1600037
1969,8,15.80000019,364.5700073
1969,9,15.90000057,278.3999939
1969,10,15.5,310.1900024
1969,11,14.40000057,71.43000031
1969,12,13.5,11.39999962
1970,1,12.69999981,23.43000031
1970,2,13.10000038,3.730000019
1970,3,14.69999981,27.79999924
1970,4,17,30.47999954
1970,5,16.80000114,79.20999908
1970,6,16.80000114,103.8499985
1970,7,15.69999981,233.1600037
1970,8,15.80000019,193.1100006
1970,9,15.90000057,154.6799927
1970,10,15.60000038,106.9100037
1970,11,13.40000057,41.31999969
1970,12,13.60000038,8.770000458
1971,1,13.5,1.269999981
1971,2,13.80000019,2.150000095
1971,3,14.40000057,9.760000229
1971,4,15.30000019,11.11999989
1971,5,17.20000076,82.30000305
1971,6,16.39999962,86.73999786
1971,7,15.90000057,117.6699982
1971,8,15.69999981,185.6000061
1971,9,15.90000057,203.8000031
1971,10,15.5,74.04000092
1971,11,14.30000019,64.69000244
1971,12,13.80000019,14.19999981
1972,1,13.5,20.29999924
1972,2,13.5,17.12999916
1972,3,14.80000019,7.829999924
1972,4,16.80000114,32.22999954
1972,5,17.30000114,114.8000031
1972,6,16.89999962,187.5399933
1972,7,16.39999962,178.7599945
1972,8,15.90000057,77.62999725
1972,9,16.60000038,50.59000015
1972,10,15.80000019,46.41999817
1972,11,15.90000057,111.4199982
1972,12,14,7.949999809
1973,1,13.10000038,0
1973,2,13.40000057,0
1973,3,15.90000057,2.400000095
1973,4,17,50.29000092
1973,5,17.70000076,160.9900055
1973,6,17.20000076,195.5399933
1973,7,16.60000038,98.43000031
1973,8,16,355.3999939
1973,9,16.39999962,116.1299973
1973,10,15.30000019,234.8600006
1973,11,15.5,50.50999832
1973,12,12.80000019,21.80999947
1974,1,13.5,37.68999863
1974,2,13,6.150000095
1974,3,14.40000057,55.06999969
1974,4,16.39999962,16.88999939
1974,5,17.20000076,167.6600037
1974,6,16.5,233.9700012
1974,7,15.90000057,94.91000366
1974,8,16.20000076,63.95999908
1974,9,15.90000057,264.2799988
1974,10,14.10000038,55.31000137
1974,11,14.19999981,47.41999817
1974,12,13.5,7.860000134
1975,1,12.40000057,15.71000004
1975,2,14,0
1975,3,15.5,3.650000095
1975,4,17.39999962,4.360000134
1975,5,17.89999962,106.4400024
1975,6,18.20000076,91.11000061
1975,7,16.39999962,77.55000305
1975,8,16.60000038,72.58000183
1975,9,16,309.3500061
1975,10,15.30000019,206.2599945
1975,11,14.5,46.95999908
1975,12,13,21.20999908
1976,1,11.60000038,12.96000004
1976,2,12.5,9.289999962
1976,3,15.19999981,0
1976,4,16.30000114,68.47000122
1976,5,17.39999962,154.6799927
1976,6,16.5,407.4599915
1976,7,16.89999962,180.4600067
1976,8,16.80000114,75.30999756
1976,9,17.10000038,147.7599945
1976,10,15.69999981,92.01000214
1976,11,14.19999981,98.37000275
1976,12,13.40000057,23.52000046
1977,1,12.30000019,0
1977,2,13.60000038,3.799999952
1977,3,15.69999981,0
1977,4,16.10000038,95.18000031
1977,5,17.60000038,207.2100067
1977,6,17,212.9499969
1977,7,17,42.02999878
1977,8,17.20000076,118.1999969
1977,9,17.30000114,197.75
1977,10,16,23.34000015
1977,11,15.10000038,93.08000183
1977,12,14.10000038,37.31999969
1978,1,12.40000057,3.470000029
1978,2,13.10000038,4.349999905
1978,3,14.30000019,30.18000031
1978,4,17.10000038,37.77000046
1978,5,18,136.7799988
1978,6,17.10000038,186.6000061
1978,7,16.30000114,118.5400009
1978,8,16.89999962,169.3000031
1978,9,16.39999962,229.8800049
1978,10,15.40000057,48.40999985
1978,11,15.69999981,28.80999947
1978,12,14.40000057,33.70000076
1979,1,12.5,0.930000007
1979,2,13.30000019,24.63999939
1979,3,15.10000038,3.309999943
1979,4,16.60000038,96.01999664
1979,5,17.70000076,176.8200073
1979,6,16.89999962,232.1499939
1979,7,16.89999962,177.9199982
1979,8,16.70000076,226.2599945
1979,9,16.10000038,358.1000061
1979,10,16.10000038,124.1399994
1979,11,14.60000038,12.64000034
1979,12,13.30000019,32.77000046
1980,1,13.60000038,7.789999962
1980,2,13.5,8.81000042
1980,3,15.69999981,34.41999817
1980,4,16.39999962,48.54999924
1980,5,18.39999962,149.3300018
1980,6,17.70000076,202.2599945
1980,7,17.30000114,179.9100037
1980,8,16.10000038,155.8800049
1980,9,16.60000038,233.3300018
1980,10,15.60000038,108.4700012
1980,11,14.40000057,59.54000092
1980,12,12.69999981,22.77000046
1981,1,11.60000038,5.230000019
1981,2,13.30000019,16.31999969
1981,3,15.40000057,44
1981,4,16.89999962,48.33000183
1981,5,18.30000114,153.1199951
1981,6,17.10000038,296.6900024
1981,7,16.80000114,159.4299927
1981,8,16.80000114,257.3299866
1981,9,16.70000076,250.5800018
1981,10,15.80000019,195.2899933
1981,11,14.60000038,24.46999931
1981,12,14,23.12999916
1982,1,13.5,2.589999914
1982,2,14.5,12.85000038
1982,3,15.19999981,5.340000153
1982,4,17.20000076,26.20999908
1982,5,17.60000038,188.9199982
1982,6,17.5,146.7400055
1982,7,16.60000038,117.4899979
1982,8,17.10000038,52.74000168
1982,9,16.60000038,264.4299927
1982,10,15.5,118.7699966
1982,11,15,23.39999962
1982,12,14,19.48999977
1983,1,12.90000057,1.330000043
1983,2,13.90000057,81.69999695
1983,3,15,44.43000031
1983,4,17,40.52999878
1983,5,19.10000038,64.73999786
1983,6,18.5,244.0500031
1983,7,17,202.7200012
1983,8,17,132.6300049
1983,9,16.89999962,189.6600037
1983,10,15.80000019,82.04000092
1983,11,15.69999981,103.8700027
1983,12,14.19999981,27.19000053
1984,1,12.30000019,7.769999981
1984,2,13.60000038,6.699999809
1984,3,14.69999981,43.77000046
1984,4,16.89999962,37.47000122
1984,5,17.10000038,230.3600006
1984,6,16.89999962,233.6199951
1984,7,15.69999981,210.5700073
1984,8,15.80000019,140.8800049
1984,9,15.69999981,338.0599976
1984,10,16,68.18000031
1984,11,14.30000019,27.77000046
1984,12,13.69999981,12.14000034
1985,1,12.10000038,6.710000038
1985,2,13.60000038,6.329999924
1985,3,15.19999981,3.710000038
1985,4,16.39999962,73.34999847
1985,5,17.5,147.5299988
1985,6,17.20000076,200.7200012
1985,7,16.30000114,128.5
1985,8,16.39999962,111.7300034
1985,9,16.70000076,158.8099976
1985,10,15.80000019,67.65000153
1985,11,15.30000019,53.11999893
1985,12,13.80000019,38.09000015
1986,1,12.30000019,13.09000015
1986,2,14,7.070000172
1986,3,13.80000019,2.200000048
1986,4,16.30000114,17.15999985
1986,5,17.30000114,228.7599945
1986,6,17.39999962,124.2699966
1986,7,16.60000038,103.8099976
1986,8,16.80000114,90.58000183
1986,9,16.20000076,118.0500031
1986,10,15.60000038,114.6299973
1986,11,15.40000057,40.02000046
1986,12,14.30000019,15.07999992
1987,1,12.19999981,4.039999962
1987,2,14,24.48999977
1987,3,15.19999981,64.34999847
1987,4,16.10000038,32.81000137
1987,5,18.20000076,72.13999939
1987,6,17.60000038,224.9700012
1987,7,16.5,131.5099945
1987,8,16.89999962,57.27999878
1987,9,17.20000076,213.8899994
1987,10,15.5,7.090000153
1987,11,15.40000057,36.47999954
1987,12,14.60000038,31.67000008
1988,1,13.19999981,9.460000038
1988,2,13.90000057,4.650000095
1988,3,15.10000038,24.87000084
1988,4,17.10000038,57.41999817
1988,5,18.20000076,99.02999878
1988,6,17.39999962,294.2600098
1988,7,16.80000114,133.5500031
1988,8,16.39999962,253.8300018
1988,9,16.5,275
1988,10,15.40000057,112.0800018
1988,11,15.80000019,59.74000168
1988,12,13.30000019,3.980000019
1989,1,13.90000057,11.51000023
1989,2,13.19999981,1.850000024
1989,3,13.90000057,72.36000061
1989,4,16,111.0500031
1989,5,17.60000038,215.7299957
1989,6,17.30000114,139.25
1989,7,16.80000114,177.2100067
1989,8,16.70000076,181.8600006
1989,9,16.20000076,177.2400055
1989,10,15.40000057,129.3399963
1989,11,15.5,85.16999817
1989,12,12.90000057,48.09000015
1990,1,13.5,8.420000076
1990,2,14.30000019,10.64000034
1990,3,14.80000019,21.72999954
1990,4,16.60000038,110.2099991
1990,5,18,123.2600021
1990,6,17.5,215.5299988
1990,7,16.5,139.2200012
1990,8,16.60000038,101.9400024
1990,9,16.60000038,258.2399902
1990,10,15.69999981,72.33999634
1990,11,14.80000019,82.37999725
1990,12,13.60000038,46.59000015
1991,1,14,4.610000134
1991,2,13.69999981,3.079999924
1991,3,15.60000038,1.210000038
1991,4,17.30000114,53.72999954
1991,5,17.60000038,158.3800049
1991,6,17.5,231.9900055
1991,7,16.89999962,76.55999756
1991,8,16.60000038,91.55000305
1991,9,16.20000076,149.4600067
1991,10,15.5,144.1699982
1991,11,14.30000019,61.06999969
1991,12,14.19999981,84.05999756
1992,1,12.80000019,8.279999733
1992,2,13.5,11.52000046
1992,3,15.5,15.21000004
1992,4,16.39999962,50.81000137
1992,5,17.30000114,72.77999878
1992,6,17.5,258.6900024
1992,7,16.5,86.09999847
1992,8,16.39999962,103.4800034
1992,9,16,175.8999939
1992,10,15.40000057,65.5
1992,11,15.19999981,53.22999954
1992,12,14.40000057,11.11999989
1993,1,13.69999981,16.43000031
1993,2,13.69999981,8.239999771
1993,3,15.10000038,34.06999969
1993,4,16.5,52.93999863
1993,5,17.20000076,124.1699982
1993,6,17.30000114,280.6099854
1993,7,16.70000076,89.11000061
1993,8,16.30000114,174.6499939
1993,9,16.10000038,176.25
1993,10,16,132.1499939
1993,11,15,11.35999966
1993,12,13.60000038,7.090000153
1994,1,13.19999981,18.30999947
1994,2,14.19999981,3.690000057
1994,3,15.10000038,6.639999866
1994,4,16.80000114,66.76999664
1994,5,17.70000076,93.11000061
1994,6,17.5,197.9299927
1994,7,16.89999962,89.45999908
1994,8,16.60000038,141.6000061
1994,9,16.60000038,135.3600006
1994,10,16.10000038,100.5999985
1994,11,15.69999981,35.52999878
1994,12,14.10000038,12.22999954
1995,1,13.80000019,4.920000076
1995,2,13.80000019,6.440000057
1995,3,15.30000019,13.81999969
1995,4,17,132.8800049
1995,5,18.39999962,165.2200012
1995,6,17.5,229.9299927
1995,7,16.39999962,150.8699951
1995,8,16.70000076,242.4100037
1995,9,16.39999962,329.0599976
1995,10,15.80000019,83.09999847
1995,11,15.40000057,20.20000076
1995,12,14.40000057,33.02999878
1996,1,12.30000019,16.62000084
1996,2,13.5,5.409999847
1996,3,14.19999981,14.77999973
1996,4,16.39999962,164.9400024
1996,5,17.80000114,184.4700012
1996,6,17.10000038,228.5800018
1996,7,16.70000076,219.2200012
1996,8,16.30000114,173.3200073
1996,9,17.30000114,178.6399994
1996,10,15.90000057,141.7700043
1996,11,14.80000019,79.55999756
1996,12,13.90000057,14.06000042
1997,1,13.30000019,14.81000042
1997,2,14.30000019,21.79000092
1997,3,15.60000038,27.40999985
1997,4,16.80000114,43.50999832
1997,5,17.60000038,122.0400009
1997,6,17.70000076,185.7700043
1997,7,16.80000114,141.0899963
1997,8,17.30000114,133.1399994
1997,9,16.80000114,277.7099915
1997,10,15.80000019,115.0599976
1997,11,15.60000038,68.18000031
1997,12,14.40000057,25.11000061
1998,1,13.5,4.03000021
1998,2,14.60000038,2.960000038
1998,3,15.5,8.409999847
1998,4,17.5,10.19999981
1998,5,18.20000076,79.11000061
1998,6,18.70000076,174.7899933
1998,7,17,142.75
1998,8,17.20000076,139.3500061
1998,9,17,240.6799927
1998,10,16.30000114,149.2899933
1998,11,15.69999981,96.98000336
1998,12,14.10000038,10.61999989
1999,1,13.30000019,9.770000458
1999,2,13.80000019,17.05999947
1999,3,15.19999981,2.710000038
1999,4,17.30000114,54.93000031
1999,5,18.30000114,90.34999847
