year,1,2,3,4,5,6,7,8,9,10,11,12
1960,13.10000038,13.5,14.19999981,15.90000057,17.60000038,17,16.10000038,16.30000114,16.30000114,16,14.90000057,13
1961,12.60000038,13.60000038,15.19999981,16.39999962,17.5,16.39999962,15.90000057,16.39999962,16.20000076,15,14.19999981,13.60000038
1962,12.19999981,13.40000057,14.60000038,15.90000057,16.39999962,16.30000114,16.10000038,16.39999962,16,15.40000057,14,12.90000057
1963,12.60000038,13.30000019,14.69999981,15.90000057,16.89999962,17.10000038,16.30000114,16.30000114,15.80000019,14.69999981,14.19999981,12.30000019
1964,12.19999981,13.69999981,15.40000057,16.89999962,17.10000038,15.80000019,15.5,16.20000076,16.20000076,14.19999981,14.69999981,13.10000038
1965,12.5,13.69999981,14.19999981,16,16.80000114,16.30000114,16.10000038,16,16,15,14.69999981,13.60000038
1966,12.40000057,13.40000057,14.10000038,16.60000038,17,16.20000076,16.5,16.39999962,16.20000076,15.19999981,13.40000057,12.30000019
1967,12.30000019,13,14,15.69999981,17,16.20000076,15.80000019,16.20000076,15.69999981,14.90000057,14.40000057,13.69999981
1968,12.60000038,12.30000019,13.30000019,16,16.5,16.20000076,15.90000057,16.10000038,15.80000019,14.90000057,14.30000019,13.30000019
1969,13,14,14.80000019,17,17.70000076,17.20000076,16.70000076,15.80000019,15.90000057,15.5,14.40000057,13.5
1970,12.69999981,13.10000038,14.69999981,17,16.80000114,16.80000114,15.69999981,15.80000019,15.90000057,15.60000038,13.40000057,13.60000038
1971,13.5,13.80000019,14.40000057,15.30000019,17.20000076,16.39999962,15.90000057,15.69999981,15.90000057,15.5,14.30000019,13.80000019
1972,13.5,13.5,14.80000019,16.80000114,17.30000114,16.89999962,16.39999962,15.90000057,16.60000038,15.80000019,15.90000057,14
1973,13.10000038,13.40000057,15.90000057,17,17.70000076,17.20000076,16.60000038,16,16.39999962,15.30000019,15.5,12.80000019
1974,13.5,13,14.40000057,16.39999962,17.20000076,16.5,15.90000057,16.20000076,15.90000057,14.10000038,14.19999981,13.5
1975,12.40000057,14,15.5,17.39999962,17.89999962,18.20000076,16.39999962,16.60000038,16,15.30000019,14.5,13
1976,11.60000038,12.5,15.19999981,16.30000114,17.39999962,16.5,16.89999962,16.80000114,17.10000038,15.69999981,14.19999981,13.40000057
1977,12.30000019,13.60000038,15.69999981,16.10000038,17.60000038,17,17,17.20000076,17.30000114,16,15.10000038,14.10000038
1978,12.40000057,13.10000038,14.30000019,17.10000038,18,17.10000038,16.30000114,16.89999962,16.39999962,15.40000057,15.69999981,14.40000057
1979,12.5,13.30000019,15.10000038,16.60000038,17.70000076,16.89999962,16.89999962,16.70000076,16.10000038,16.10000038,14.60000038,13.30000019
1980,13.60000038,13.5,15.69999981,16.39999962,18.39999962,17.70000076,17.30000114,16.10000038,16.60000038,15.60000038,14.40000057,12.69999981
1981,11.60000038,13.30000019,15.40000057,16.89999962,18.30000114,17.10000038,16.80000114,16.80000114,16.70000076,15.80000019,14.60000038,14
1982,13.5,14.5,15.19999981,17.20000076,17.60000038,17.5,16.60000038,17.10000038,16.60000038,15.5,15,14
1983,12.90000057,13.90000057,15,17,19.10000038,18.5,17,17,16.89999962,15.80000019,15.69999981,14.19999981
1984,12.30000019,13.60000038,14.69999981,16.89999962,17.10000038,16.89999962,15.69999981,15.80000019,15.69999981,16,14.30000019,13.69999981
1985,12.10000038,13.60000038,15.19999981,16.39999962,17.5,17.20000076,16.30000114,16.39999962,16.70000076,15.80000019,15.30000019,13.80000019
1986,12.30000019,14,13.80000019,16.30000114,17.30000114,17.39999962,16.60000038,16.80000114,16.20000076,15.60000038,15.40000057,14.30000019
1987,12.19999981,14,15.19999981,16.10000038,18.20000076,17.60000038,16.5,16.89999962,17.20000076,15.5,15.40000057,14.60000038
1988,13.19999981,13.90000057,15.10000038,17.10000038,18.20000076,17.39999962,16.80000114,16.39999962,16.5,15.40000057,15.80000019,13.30000019
1989,13.90000057,13.19999981,13.90000057,16,17.60000038,17.30000114,16.80000114,16.70000076,16.20000076,15.40000057,15.5,12.90000057
1990,13.5,14.30000019,14.80000019,16.60000038,18,17.5,16.5,16.60000038,16.60000038,15.69999981,14.80000019,13.60000038
1991,14,13.69999981,15.60000038,17.30000114,17.60000038,17.5,16.89999962,16.60000038,16.20000076,15.5,14.30000019,14.19999981
1992,12.80000019,13.5,15.5,16.39999962,17.30000114,17.5,16.5,16.39999962,16,15.40000057,15.19999981,14.40000057
1993,13.69999981,13.69999981,15.10000038,16.5,17.20000076,17.30000114,16.70000076,16.30000114,16.10000038,16,15,13.60000038
1994,13.19999981,14.19999981,15.10000038,16.80000114,17.70000076,17.5,16.89999962,16.60000038,16.60000038,16.10000038,15.69999981,14.10000038
1995,13.80000019,13.80000019,15.30000019,17,18.39999962,17.5,16.39999962,16.70000076,16.39999962,15.80000019,15.40000057,14.40000057
1996,12.30000019,13.5,14.19999981,16.39999962,17.80000114,17.10000038,16.70000076,16.30000114,17.30000114,15.90000057,14.80000019,13.90000057
